host_t_us,sensor_t_us,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
1781544003543999,99667467,0.7797969579696655,0.0021442342549562454,0.017542412504553795,-0.6257830262184143,-0.28720879554748535,-0.18033382296562195,10.317411422729492,0.42123284935951233,0.0998062863945961,0.6098960041999817
1781544003545822,99684134,0.779792308807373,0.00215344806201756,0.01752418279647827,-0.625789225101471,-0.29402145743370056,-0.19284698367118835,10.313420295715332,0.5630759596824646,0.0769597589969635,0.5869982242584229
1781544003574168,99700801,0.779788613319397,0.0021532359533011913,0.017528869211673737,-0.6257936954498291,-0.29112115502357483,-0.18795830011367798,10.309318542480469,0.4136899411678314,0.15924057364463806,0.6001631617546082
1781544003603914,99717468,0.7797895073890686,0.0021459367126226425,0.0175348911434412,-0.6257923245429993,-0.28839966654777527,-0.20002442598342896,10.311210632324219,0.3708398640155792,0.1365348845720291,0.5950406193733215
1781544003605661,99734135,0.7797784805297852,0.0021470014471560717,0.017539916560053825,-0.6258062720298767,-0.2829495072364807,-0.18862347304821014,10.294048309326172,0.4201955497264862,0.16737258434295654,0.5227615833282471
1781544003633948,99750802,0.7797788977622986,0.002149065723642707,0.01755249872803688,-0.6258052587509155,-0.2806035280227661,-0.19288989901542664,10.317815780639648,0.39287954568862915,0.21222041547298431,0.5924280881881714
1781544003635712,99767469,0.7797688841819763,0.0021583237685263157,0.017553819343447685,-0.6258176565170288,-0.2838360667228699,-0.19658397138118744,10.304637908935547,0.47988593578338623,0.18286827206611633,0.5356704592704773
1781544003663944,99784136,0.7797578573226929,0.0021668425761163235,0.017553867772221565,-0.6258313655853271,-0.2881600558757782,-0.1912841796875,10.302895545959473,0.481704443693161,0.17318664491176605,0.5193166136741638
1781544003665771,99800803,0.7797529101371765,0.0021700584329664707,0.017541036009788513,-0.6258378624916077,-0.2929624915122986,-0.19884419441223145,10.308443069458008,0.5078421831130981,0.08081446588039398,0.5807743668556213
1781544003693991,99817470,0.7797461748123169,0.002169674262404442,0.01752830110490322,-0.6258465647697449,-0.2954626679420471,-0.19777141511440277,10.284943580627441,0.48850464820861816,0.06617680937051773,0.5589267611503601
1781544003695748,99834137,0.7797484993934631,0.0021689357236027718,0.017527995631098747,-0.6258437633514404,-0.2954988181591034,-0.19903041422367096,10.298171997070312,0.4331171214580536,0.13136112689971924,0.6100368499755859
1781544003724175,99850804,0.7797529101371765,0.0021697236225008965,0.01753137819468975,-0.6258381605148315,-0.2893652319908142,-0.1779806911945343,10.320891380310059,0.42349955439567566,0.15656402707099915,0.6865803599357605
1781544003753906,99867471,0.7797463536262512,0.0021718298085033894,0.017523471266031265,-0.6258465051651001,-0.28572824597358704,-0.18728239834308624,10.303436279296875,0.48103854060173035,0.10295664519071579,0.5620002150535583
1781544003755610,99884138,0.7797497510910034,0.0021695257164537907,0.017523668706417084,-0.6258423328399658,-0.28991955518722534,-0.19380897283554077,10.307101249694824,0.42087432742118835,0.12650752067565918,0.671776294708252
1781544003783947,99900805,0.7797480225563049,0.0021682733204215765,0.0175266545265913,-0.6258443593978882,-0.29697540402412415,-0.19976693391799927,10.316217422485352,0.4152906835079193,0.14657509326934814,0.617912769317627
1781544003785600,99917472,0.7797403931617737,0.002164285397157073,0.017523666843771935,-0.625853955745697,-0.28550684452056885,-0.19027939438819885,10.30914306640625,0.42736712098121643,0.10344327986240387,0.5515118837356567
1781544003813955,99934139,0.7797344923019409,0.0021643484942615032,0.01753108948469162,-0.6258610486984253,-0.2824452817440033,-0.19365163147449493,10.286989212036133,0.4035857021808624,0.1764010637998581,0.5844369530677795
1781544003815729,99950806,0.7797317504882812,0.0021567123476415873,0.01753176376223564,-0.6258643865585327,-0.2913321554660797,-0.19886931777000427,10.272111892700195,0.39098426699638367,0.1069522425532341,0.6133921146392822
1781544003843946,99967473,0.7797349095344543,0.0021610786207020283,0.017523175105452538,-0.6258609890937805,-0.2844837009906769,-0.17351758480072021,10.315591812133789,0.49608588218688965,0.10951347649097443,0.6173877120018005
1781544003845744,99984140,0.7797335982322693,0.002159976167604327,0.017524978145956993,-0.6258625388145447,-0.2832717299461365,-0.1955328732728958,10.29227066040039,0.42266714572906494,0.14224651455879211,0.5706701278686523
1781544003874181,100000807,0.7797374129295349,0.0021578113082796335,0.01752840355038643,-0.6258577108383179,-0.2855605185031891,-0.18419985473155975,10.288248062133789,0.40919485688209534,0.14592194557189941,0.6272997260093689
1781544003903907,100017474,0.7797314524650574,0.0021621007472276688,0.017517918720841408,-0.6258652210235596,-0.28982657194137573,-0.19682371616363525,10.288265228271484,0.5039106011390686,0.09937087446451187,0.5644719004631042
1781544003905725,100034141,0.779729962348938,0.0021627433598041534,0.017504701390862465,-0.625867486000061,-0.2853388786315918,-0.19542911648750305,10.304411888122559,0.4952663481235504,0.06858440488576889,0.615684449672699
1781544003933942,100050808,0.7797359228134155,0.002158029703423381,0.01750880293548107,-0.6258599162101746,-0.28879305720329285,-0.19531813263893127,10.302763938903809,0.39227765798568726,0.13862232863903046,0.6505690217018127
1781544003935723,100067475,0.7797268629074097,0.0021641203202307224,0.01750190183520317,-0.6258714199066162,-0.29164329171180725,-0.198368638753891,10.300882339477539,0.5000559091567993,0.1277625411748886,0.48509812355041504
1781544003963951,100084142,0.7797151803970337,0.002177524147555232,0.017490439116954803,-0.6258862018585205,-0.2856173813343048,-0.18871645629405975,10.283329963684082,0.5580174326896667,0.13430659472942352,0.5008115172386169
1781544003965583,100100809,0.7797097563743591,0.002165710087865591,0.01749429851770401,-0.6258929967880249,-0.2824166715145111,-0.19325824081897736,10.319024085998535,0.35565149784088135,0.1072467714548111,0.5737948417663574
1781544003993941,100117476,0.7797013521194458,0.0021676344331353903,0.017491284757852554,-0.6259036064147949,-0.29114586114883423,-0.1964874416589737,10.296277046203613,0.4595238268375397,0.1300036460161209,0.5379627346992493
1781544003995714,100134143,0.779699981212616,0.0021794834174215794,0.017490236088633537,-0.6259052157402039,-0.2861967086791992,-0.204966738820076,10.293880462646484,0.5033599734306335,0.18279141187667847,0.6087177991867065
1781544004024178,100150810,0.7796980738639832,0.0021841342095285654,0.01747884415090084,-0.6259079575538635,-0.2937277853488922,-0.1982576847076416,10.292815208435059,0.5089435577392578,0.09620770066976547,0.6155948042869568
1781544004053903,100167477,0.7796955108642578,0.0021821758709847927,0.017476826906204224,-0.6259111762046814,-0.30556222796440125,-0.19371256232261658,10.304834365844727,0.4348844289779663,0.11913106590509415,0.5565703511238098
1781544004055688,100184144,0.7796974182128906,0.002186208963394165,0.01747644506394863,-0.6259088516235352,-0.2786112129688263,-0.18677085638046265,10.300374984741211,0.4592292606830597,0.1532599776983261,0.6063613891601562
1781544004083948,100200811,0.7797030806541443,0.0021867970936000347,0.017471326515078545,-0.6259019374847412,-0.3016580045223236,-0.19116759300231934,10.304842948913574,0.45908844470977783,0.11189548671245575,0.6939697265625
1781544004085948,100217478,0.7797000408172607,0.002174349268898368,0.0174684040248394,-0.6259056329727173,-0.3009277880191803,-0.1901935636997223,10.310323715209961,0.3809312582015991,0.06837949901819229,0.6063870191574097
1781544004114053,100234145,0.7796932458877563,0.00217008450999856,0.01747782900929451,-0.6259138584136963,-0.27693790197372437,-0.1862095445394516,10.28127384185791,0.37250468134880066,0.1703692525625229,0.5586962103843689
1781544004115594,100250812,0.779690682888031,0.0021729175932705402,0.01747334562242031,-0.6259171962738037,-0.28706178069114685,-0.2053564339876175,10.300246238708496,0.47121602296829224,0.12689170241355896,0.5560324788093567
1781544004143899,100267479,0.7796963453292847,0.0021725764963775873,0.017467983067035675,-0.6259103417396545,-0.2925194501876831,-0.191620334982872,10.294953346252441,0.4566679894924164,0.10777182877063751,0.6460098624229431
1781544004145721,100284146,0.7796968817710876,0.0021772312466055155,0.017468059435486794,-0.625909686088562,-0.28818151354789734,-0.17920374870300293,10.316621780395508,0.46084290742874146,0.15903565287590027,0.5912755727767944
