pulse_n,host_t_us,sensor_t_us,feature,value,threshold,refractory_s
1,1781548229293146,170213858,acc_magnitude,16.5354,15.0,8.0
2,1781548238325659,179264039,acc_magnitude,15.3816,15.0,8.0
3,1781548249993701,190930939,acc_magnitude,17.7366,15.0,8.0
4,1781548261273812,202214498,acc_magnitude,16.0667,15.0,8.0
5,1781548271773921,212714708,acc_magnitude,15.8796,15.0,8.0
