host_t_us,sensor_t_us,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
1781547126243854,805917206,-0.14512944221496582,-0.7101284861564636,0.3788997232913971,-0.5754072666168213,9.075898170471191,-0.5405598282814026,-3.5594747066497803,0.8532806634902954,0.26140958070755005,-0.6160878539085388
1781547126274486,805950540,-0.14540357887744904,-0.7100346684455872,0.3786512315273285,-0.5756173729896545,9.070924758911133,-0.5573939681053162,-3.568312883377075,1.1928155422210693,0.16409415006637573,-0.1657654047012329
1781547126303917,805983874,-0.1455574631690979,-0.7098809480667114,0.37852799892425537,-0.575849175453186,9.09730052947998,-0.5524158477783203,-3.567467212677002,1.0530469417572021,0.2115032821893692,0.5312650203704834
1781547126333862,806050542,-0.14609119296073914,-0.7095534801483154,0.37815406918525696,-0.5763628482818604,9.19385051727295,-0.5103539824485779,-3.5773050785064697,1.4441401958465576,0.09355679154396057,-0.33146676421165466
1781547126363847,806100543,-0.14622050523757935,-0.7095268368721008,0.37785008549690247,-0.5765622854232788,9.132287979125977,-0.5223428010940552,-3.605576276779175,1.527086615562439,-0.9228894114494324,0.6223821043968201
1781547126393931,806133877,-0.14640915393829346,-0.7095252275466919,0.37764883041381836,-0.5766482949256897,9.172472953796387,-0.6242704391479492,-3.6764321327209473,0.8286796808242798,-0.16169297695159912,-0.6558900475502014
1781547126454126,806167211,-0.1470831334590912,-0.7094718217849731,0.3774525821208954,-0.5766708850860596,9.143026351928711,-0.5566129684448242,-3.5774972438812256,-0.2877586781978607,0.15619264543056488,-1.0773853063583374
1781547126484932,806200545,-0.14759115874767303,-0.7094931602478027,0.37720245122909546,-0.576678454875946,9.124083518981934,-0.5130701065063477,-3.5341665744781494,0.6135714054107666,-0.18902172148227692,-0.9402549266815186
1781547126513836,806217212,-0.14784687757492065,-0.7094778418540955,0.3770057260990143,-0.5767605900764465,9.111191749572754,-0.4975842833518982,-3.557029962539673,0.7943459153175354,0.3969264030456543,-1.1857142448425293
1781547126544622,806250546,-0.14847888052463531,-0.7093251943588257,0.37637752294540405,-0.5771961212158203,9.107465744018555,-0.5173642039299011,-3.5384745597839355,1.6324446201324463,1.8378968238830566,-2.0118134021759033
1781547126574612,806283880,-0.14878235757350922,-0.7092165350914001,0.37616968154907227,-0.5773868560791016,9.134305953979492,-0.5552562475204468,-3.5305068492889404,0.7450413703918457,-0.1790967881679535,0.27253830432891846
1781547126604717,806350548,-0.14966699481010437,-0.7091891169548035,0.37519583106040955,-0.5778254270553589,9.089741706848145,-0.46378248929977417,-3.5520691871643066,1.6369781494140625,0.6980805397033691,-1.7762024402618408
1781547126634449,806367215,-0.1499214768409729,-0.7091593146324158,0.37479367852211,-0.5780569314956665,9.060246467590332,-0.4053060710430145,-3.5230908393859863,1.8532646894454956,1.4640796184539795,-1.928572416305542
1781547126694421,806400549,-0.15004150569438934,-0.7090160846710205,0.3745025396347046,-0.5783899426460266,9.098411560058594,-0.4615533947944641,-3.5578229427337646,1.5155737400054932,-0.12447770684957504,1.0827445983886719
1781547126724486,806433883,-0.15008877217769623,-0.7088724374771118,0.3745109736919403,-0.5785483717918396,9.211275100708008,-0.6185913681983948,-3.6202914714813232,1.0760855674743652,0.18403364717960358,0.2699130177497864
1781547126754435,806467217,-0.1505190134048462,-0.7088723182678223,0.37414443492889404,-0.5786738395690918,9.228856086730957,-0.56461501121521,-3.5780320167541504,0.713448166847229,0.11512269079685211,-1.269608736038208
1781547126784473,806500551,-0.1510799080133438,-0.7089767456054688,0.3735983967781067,-0.5787526369094849,9.10538387298584,-0.4526536762714386,-3.5879034996032715,0.9626724720001221,0.05294784903526306,-1.5580077171325684
1781547126814416,806517218,-0.1512291431427002,-0.7089910507202148,0.3735061287879944,-0.5787555575370789,9.06769847869873,-0.4676284193992615,-3.5941455364227295,0.7807454466819763,-0.4137731194496155,-0.39031192660331726
