pulse_n,host_t_us,sensor_t_us,feature,value,threshold,refractory_s
1,1781547256739505,106275907,acc_magnitude,17.8824,15.0,8.0
2,1781547265981453,115526092,acc_magnitude,17.2571,15.0,8.0
3,1781547274711078,124242933,acc_magnitude,16.0255,15.0,8.0
4,1781547286322065,135859832,acc_magnitude,15.2101,15.0,8.0
