host_t_us,sensor_t_us,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
1785712344962103,670972542,-0.3044918179512024,0.7276607155799866,0.3005695641040802,0.5361462235450745,9.36159896850586,-1.224098801612854,-2.428597927093506,-1.4285868406295776,-3.925530433654785,-0.4723494350910187
1785712344963662,670989209,-0.30440443754196167,0.7274518013000488,0.3002311587333679,0.5366687774658203,9.370555877685547,-1.1912040710449219,-2.3761727809906006,-1.6710236072540283,3.844792604446411,-0.3425186276435852
1785712345014572,671005876,-0.3043639361858368,0.7274278998374939,0.3000566363334656,0.5368216037750244,9.446667671203613,-1.2063376903533936,-2.375631809234619,-0.45741719007492065,1.0667624473571777,0.16633526980876923
1785712345014831,671022543,-0.30470338463783264,0.727385938167572,0.3001177906990051,0.5366514921188354,9.49217414855957,-1.175188422203064,-2.309232711791992,3.016887903213501,-0.19162139296531677,1.02847158908844
1785712345022391,671039210,-0.304989755153656,0.7275296449661255,0.3003743588924408,0.536150336265564,9.487460136413574,-1.1872646808624268,-2.3720412254333496,3.7688381671905518,-3.0510873794555664,0.931399405002594
1785712345053188,671055877,-0.30508723855018616,0.7276353240013123,0.3004405200481415,0.5359144806861877,9.476837158203125,-1.2071456909179688,-2.363440990447998,1.6523457765579224,-1.574451208114624,0.5536249279975891
1785712345054494,671072544,-0.3050330877304077,0.727776288986206,0.30045685172080994,0.5357447266578674,9.486466407775879,-1.2470555305480957,-2.317007064819336,0.49898016452789307,-1.5828135013580322,0.1781299114227295
1785712345082182,671089211,-0.3049996793270111,0.7279252409934998,0.3004664182662964,0.5355560779571533,9.509045600891113,-1.2314157485961914,-2.4349074363708496,0.6005858778953552,-1.6499574184417725,0.34477895498275757
1785712345083724,671105878,-0.30520278215408325,0.7279007434844971,0.30049335956573486,0.5354583859443665,9.460771560668945,-1.196512222290039,-2.465916872024536,2.0221035480499268,-0.10311673581600189,0.5796089768409729
1785712345112113,671122545,-0.3054042458534241,0.7278218865394592,0.30053699016571045,0.5354260802268982,9.419675827026367,-1.1922662258148193,-2.3382060527801514,2.054375648498535,0.3858233094215393,0.24022792279720306
1785712345147968,671139212,-0.3053930401802063,0.7278667092323303,0.3006783723831177,0.5352922677993774,9.404671669006348,-1.2017472982406616,-2.3204007148742676,1.3005553483963013,-1.2218666076660156,-0.562608540058136
1785712345149536,671155879,-0.3053041100502014,0.7279485464096069,0.30077874660491943,0.5351754426956177,9.41672420501709,-1.2020353078842163,-2.385737180709839,0.6484174728393555,-1.348969578742981,-0.60285884141922
1785712345149790,671172546,-0.3052895963191986,0.7279829978942871,0.3007928431034088,0.5351287126541138,9.437847137451172,-1.2011157274246216,-2.395890712738037,0.658585786819458,-0.48781949281692505,-0.1422785371541977
1785712345172310,671189213,-0.3053617477416992,0.7279855608940125,0.3007892668247223,0.5350860953330994,9.4551362991333,-1.2046326398849487,-2.3904919624328613,1.085024356842041,-0.1343386024236679,0.19039839506149292
1785712345202109,671205880,-0.30538585782051086,0.7280329465866089,0.3007698059082031,0.535018801689148,9.447848320007324,-1.1988080739974976,-2.3745484352111816,0.7444908022880554,-0.4885367155075073,0.23769229650497437
1785712345203955,671222547,-0.30533531308174133,0.7281003594398499,0.3007314205169678,0.5349775552749634,9.453547477722168,-1.192335844039917,-2.352897882461548,0.2039475291967392,-0.5466774702072144,0.04434198886156082
1785712345232097,671239214,-0.3053107261657715,0.7281875610351562,0.3007608652114868,0.5348563194274902,9.460984230041504,-1.1840136051177979,-2.4262826442718506,0.708799421787262,-1.1083639860153198,0.009201361797749996
